Date,Open,High,Low,Close ,Adj Close ,Volume,Currency
1-Apr-11,"5,835.00","5,944.45","5,693.25","5,749.50","5,749.50",NULL,INR
1-Mar-11,"5,382.00","5,872.00","5,348.20","5,833.75","5,833.75",NULL,INR
1-Feb-11,"5,537.30","5,599.25","5,177.70","5,333.25","5,333.25",NULL,INR
1-Jan-11,"6,177.45","6,181.05","5,416.65","5,505.90","5,505.90",NULL,INR
1-Dec-10,"5,871.00","6,147.30","5,721.15","6,134.50","6,134.50",NULL,INR
1-Nov-10,"6,092.30","6,338.50","5,690.35","5,862.70","5,862.70",NULL,INR
1-Oct-10,"6,030.30","6,284.10","5,937.10","6,017.70","6,017.70",NULL,INR
1-Sep-10,"5,403.05","6,073.50","5,403.05","6,029.95","6,029.95",NULL,INR
1-Aug-10,"5,369.55","5,549.80","5,348.90","5,402.40","5,402.40",NULL,INR
1-Jul-10,"5,312.05","5,477.50","5,225.60","5,367.60","5,367.60",NULL,INR
1-Jun-10,"5,086.25","5,366.75","4,961.05","5,312.50","5,312.50",NULL,INR
1-May-10,"5,278.40","5,278.70","4,786.45","5,086.30","5,086.30",NULL,INR
1-Apr-10,"5,249.20","5,399.65","5,160.90","5,278.00","5,278.00",NULL,INR
1-Mar-10,"4,935.60","5,329.55","4,935.35","5,249.10","5,249.10",NULL,INR
1-Feb-10,"4,882.05","4,992.00","4,675.40","4,922.30","4,922.30",NULL,INR
1-Jan-10,"5,200.90","5,310.85","4,766.00","4,882.05","4,882.05",NULL,INR
1-Dec-09,"5,039.70","5,221.85","4,943.95","5,201.05","5,201.05",NULL,INR
1-Nov-09,"4,712.25","5,138.00","4,538.50","5,032.70","5,032.70",NULL,INR
1-Oct-09,"5,087.20","5,181.95","4,687.50","4,711.70","4,711.70",NULL,INR
1-Sep-09,"4,662.20","5,087.60","4,576.60","5,083.95","5,083.95",NULL,INR
1-Aug-09,"4,633.80","4,743.75","4,353.45","4,662.10","4,662.10",NULL,INR
1-Jul-09,"4,292.30","4,669.75","3,918.75","4,636.45","4,636.45",NULL,INR
1-Jun-09,"4,450.40","4,693.20","4,143.25","4,291.10","4,291.10",NULL,INR
1-May-09,"3,478.70","4,509.40","3,478.70","4,448.95","4,448.95",NULL,INR
1-Apr-09,"3,023.85","3,517.25","2,965.70","3,473.95","3,473.95",NULL,INR
1-Mar-09,"2,764.60","3,123.35","2,539.45","3,020.95","3,020.95",NULL,INR
1-Feb-09,"2,872.35","2,969.75","2,677.55","2,763.65","2,763.65",NULL,INR
1-Jan-09,"2,963.30","3,147.20","2,661.65","2,874.80","2,874.80",NULL,INR
1-Dec-08,"2,755.15","3,110.45","2,570.70","2,959.15","2,959.15",NULL,INR
